Date,Open,High,Low,Close,Adj Close,Volume
2017-08-20,157.500000,160.740005,155.110001,159.860001,154.242294,112671200
2017-08-27,160.139999,164.940002,159.929993,164.050003,158.285065,126128700
2017-09-03,163.750000,164.250000,158.529999,158.630005,153.055527,101660200
2017-09-10,160.500000,163.960007,157.910004,159.880005,154.261597,221077500
2017-09-17,160.110001,160.500000,150.559998,151.889999,146.552353,186188500
2017-09-24,149.990005,154.720001,149.160004,154.119995,148.703979,154856800
2017-10-01,154.259995,155.490005,152.460007,155.300003,149.842514,93784300
2017-10-08,155.809998,158.000000,155.100006,156.990005,151.473160,81304800
2017-10-15,157.899994,160.869995,155.020004,156.250000,150.759140,126051300
2017-10-22,156.889999,163.600006,155.270004,163.050003,157.320160,122403300
2017-10-29,163.889999,174.259995,163.720001,172.500000,166.438095,215177400
2017-11-05,172.369995,176.240005,171.720001,174.669998,168.531830,138425400
2017-11-12,173.500000,174.500000,168.380005,170.149994,164.760849,116459700
2017-11-19,170.289993,175.500000,169.559998,174.970001,169.428192,81009300
2017-11-26,175.050003,175.080002,167.160004,171.050003,165.632339,170098500
2017-12-03,172.479996,172.619995,166.460007,169.369995,164.005539,137481100
2017-12-10,169.199997,174.169998,168.789993,173.970001,168.459869,139147200
2017-12-17,174.880005,177.199997,173.250000,175.009995,169.466919,117632400
2017-12-24,170.800003,171.850006,169.220001,169.229996,163.869995,97163800
2017-12-31,170.160004,175.369995,169.259995,175.000000,169.457214,101168400
2018-01-07,174.350006,177.360001,173.000000,177.089996,171.481064,110197500
2018-01-14,177.899994,180.100006,175.070007,178.460007,172.807663,127571200
2018-01-21,177.300003,179.440002,170.059998,171.509995,166.077759,191574800
2018-01-28,170.160004,170.160004,160.100006,160.500000,155.416519,262992100
2018-02-04,159.100006,163.880005,150.240005,156.410004,151.456039,317654000
2018-02-11,158.500000,174.820007,157.509995,172.429993,167.649399,225336900
2018-02-18,172.050003,175.649994,171.009995,175.500000,170.634277,136206400
2018-02-25,176.350006,180.619995,172.449997,176.210007,171.324600,202128400
2018-03-04,175.210007,180.000000,174.270004,179.979996,174.990051,139852700
2018-03-11,180.289993,183.500000,177.619995,178.020004,173.084427,155417500
2018-03-18,177.320007,177.470001,164.940002,164.940002,160.367035,172670700
2018-03-25,168.070007,175.149994,165.190002,167.779999,163.128311,158530800
2018-04-01,166.639999,174.229996,164.470001,168.380005,163.711700,164408800
2018-04-08,169.880005,175.839996,169.850006,174.729996,169.885605,127871500
2018-04-15,175.029999,178.940002,165.429993,165.720001,161.125412,169238200
2018-04-22,166.830002,166.919998,160.630005,162.320007,157.819687,162208400
2018-04-29,162.130005,184.250000,161.839996,183.830002,178.733322,252805700
2018-05-06,185.179993,190.369995,183.669998,188.589996,183.361343,148266900
2018-05-13,189.009995,189.529999,185.100006,186.309998,181.843079,99248800
2018-05-20,188.000000,189.649994,185.759995,188.580002,184.058655,94394900
2018-05-27,187.600006,190.259995,186.139999,190.240005,185.678833,92129900
2018-06-03,191.639999,194.199997,189.770004,191.699997,187.103851,116769800
2018-06-10,191.350006,192.880005,188.259995,188.839996,184.312439,140187300
2018-06-17,187.880005,189.220001,183.449997,184.919998,180.486389,125604400
2018-06-24,183.399994,187.279999,180.729996,185.110001,180.671844,121620500
2018-07-01,183.820007,188.429993,183.419998,187.970001,183.463272,65775500
2018-07-08,189.500000,191.839996,187.610001,191.330002,186.742706,85082200
2018-07-15,191.520004,192.649994,189.199997,191.440002,186.850113,87934000
2018-07-22,190.679993,195.960007,189.559998,190.979996,186.401138,94497200
2018-07-29,191.899994,208.740005,189.070007,207.990005,203.003281,224189600
2018-08-05,208.000000,209.779999,204.520004,207.529999,202.554306,121642100
2018-08-12,209.309998,217.949997,207.699997,217.580002,213.108124,139373900
2018-08-19,218.100006,219.179993,213.839996,216.160004,211.717331,112825200
2018-08-26,217.149994,228.869995,216.330002,227.630005,222.951584,162690600
2018-09-02,228.410004,229.669998,220.710007,221.300003,216.751694,132632900
2018-09-09,220.949997,228.350006,216.470001,223.839996,219.239487,198249900
2018-09-16,222.149994,222.949997,215.300003,217.660004,213.186508,218746100
2018-09-23,216.820007,226.440002,216.630005,225.740005,221.100433,129343100
2018-09-30,227.949997,233.470001,220.580002,224.289993,219.680222,142666300
2018-10-07,222.210007,227.270004,212.320007,222.110001,217.545044,192007800
2018-10-14,221.160004,222.990005,213.000000,219.309998,214.802567,148520400
2018-10-21,219.789993,224.229996,212.669998,216.300003,211.854462,185599600
2018-10-28,219.190002,222.360001,205.429993,207.479996,203.215714,270606300
2018-11-04,204.300003,210.119995,198.169998,204.470001,200.267593,191199400
2018-11-11,199.000000,199.850006,185.929993,193.529999,190.213806,242226500
2018-11-18,190.000000,190.699997,172.100006,172.289993,169.337769,164498700
2018-11-25,174.240005,182.800003,170.259995,178.580002,175.519989,213749900
2018-12-02,184.460007,184.940002,168.300003,168.490005,165.602905,167526800
2018-12-09,165.000000,172.570007,163.330002,165.479996,162.644440,217537700
2018-12-16,165.449997,168.350006,149.630005,150.729996,148.147202,287694300
2018-12-23,148.149994,158.520004,146.589996,156.229996,153.552979,191160200
2018-12-30,158.529999,159.360001,142.000000,148.259995,145.719513,221962500
2019-01-06,148.699997,154.529999,145.899994,152.289993,149.680466,203706100
2019-01-13,150.850006,157.880005,149.220001,156.820007,154.132858,155292000
2019-01-20,156.410004,158.130005,151.699997,157.759995,155.056747,112501600
2019-01-27,155.789993,169.000000,153.660004,166.520004,163.666641,202296800
2019-02-03,167.410004,175.570007,167.279999,170.410004,167.489990,151398400
2019-02-10,171.050003,172.479996,169.250000,170.419998,168.218201,112229600
2019-02-17,169.710007,173.320007,169.490005,172.970001,170.735229,81250100
2019-02-24,174.160004,175.869995,172.729996,174.970001,172.709381,120880600
2019-03-03,175.690002,177.750000,169.500000,172.910004,170.676025,116779800
2019-03-10,175.490005,187.330002,175.350006,186.119995,183.715332,158133500
2019-03-17,185.800003,197.690002,184.729996,191.050003,188.581650,182343300
2019-03-24,191.509995,192.880005,184.580002,189.949997,187.495865,167838600
2019-03-31,191.639999,197.100006,188.380005,197.000000,194.454758,111540400
2019-04-07,196.419998,202.850006,196.210007,198.869995,196.300613,132006700
2019-04-14,198.580002,204.149994,198.009995,203.860001,201.226151,96335600
